ID,Number of Bags,Bag Weight,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Overall,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects
374,26,60 kg,Caturra,Wet Hulling,8,8.5,7.25,7.83,8,8,10,7.67,85,8.9,4,7,bluish-green,4
375,77,13 kg,"Wolishalo,Kurume,Dega",Double Carbonic Maceration / Natural,8.17,7.33,7.33,8.33,7.25,7.58,8.67,8.25,86.92,11.6,1,5,yellow-green,11
376,632,85 kg,Yellow Bourbon,Semi Washed,8.33,8.17,8,8.33,6.83,7.5,9.33,8.58,82.75,10,0,9,yellow green,1
377,77,24 kg,SHG,"Honey,Mossto",8,7.33,6.75,7.75,7.83,7.33,9.33,8.5,87,11.2,5,1,browish-green,13
378,70,27 kg,SHG,Washed / Wet,8.08,7.42,7.67,7.92,8.08,7.67,8.67,7.08,86.67,11,4,7,yellowish,7
379,74,35 kg,Castillo and Colombia blend,Semi Washed,7.58,8.5,7.33,8.08,7.42,8,9.33,7.5,82.67,9.1,4,12,yellow green,13
380,300,20 kg,Catrenic,Anaerobico 1000h,7.58,7.83,7.17,7.58,7.33,7.58,9.33,8.58,84.33,12,1,2,yellow-green,3
381,275,16 kg,Catucai,Anaerobico 1000h,7.17,8.42,7,7,8.17,7.08,9.33,7.42,87.58,12.1,3,6,yellow- green,13
382,500,60 kg,"Bourbon, Catimor, Caturra, Typica",Washed / Wet,7.83,7.75,7.92,7.83,6.83,8.42,9.33,6.83,83.58,11.8,5,10,yello-green,9
383,343,15 kg,Catimor,Natural / Dry,7.25,7.83,8.25,8.08,7.08,7.75,8.67,6.67,89.33,12.4,3,6,greenish,9
384,141,320 kg,Mundo Novo,Anaerobico 1000h,8.08,8,6.92,8,6.83,8.17,10,7.33,83.17,9.8,3,7,brownish,1
385,285,15 kg,Red Bourbon,Semi Washed,7.92,8.33,8.42,6.83,8.08,8.25,8.67,7.17,85,10.7,5,6,yellowish,8
386,285,45 kg,Ethiopian Heirlooms,Wet Hulling,7.42,6.75,8,7,7.25,8,9.33,7.5,85.5,13.3,2,5,yellow-green,5
387,620,70 kg,Bourbon,Natural / Dry,8.58,7.5,7.17,8.33,7.58,7.5,9.33,7,86.25,9.3,4,6,brownish,16
388,200,13 kg,Catucai,Wet Hulling,7.75,7.33,7.67,7.08,7.33,8.08,8.67,7.67,83.25,11.8,1,10,green,5
389,14,60 kg,Caturra,Double Anaerobic Washed,7.5,7.92,7.5,8.58,7.75,6.67,8.67,8.08,83.08,10.2,1,3,bluish-green,10
390,960,2 kg,Typica Bourbon Caturra Catimor,Natural / Dry,7.5,7.42,8.17,8.08,7.67,8.17,8.67,8.08,82.5,11.4,5,1,yellowish,4
391,540,36 kg,"Jember,TIM-TIM,Ateng",Double Anaerobic Washed,7.83,7.83,8,8.25,8,7.42,10,7.42,85.83,8.1,1,5,yellow-green,13
392,80,12 kg,Red Bourbon,Semi Washed,8.25,7.67,8,8.25,7.92,6.67,9.33,8,84.92,9.1,1,2,pale yellow,0
393,70,5 kg,Parainema,Pulped natural / honey,8.33,7.5,7.17,7.58,6.83,8.17,8.67,7.33,84.33,10.4,0,8,bluish-green,13
394,74,25 kg,Parainema,Anaerobico 1000h,7.75,8,8.17,7.67,7.67,7.5,8.67,7.92,87.58,11.6,2,10,yellow green,9
395,430,300 kg,"Red Bourbon,Caturra",Anaerobico 1000h,7.17,6.75,7.5,7.17,8.17,7.58,8.67,7.83,85.17,9.7,5,10,browish-green,0
396,120,85 kg,"BOURBON, CATURRA Y CATIMOR",Pulped natural / honey,7.08,7.83,8.17,8.08,7.08,7.58,8.67,7,84.92,9.7,4,5,greenish,9
397,80,12 kg,Java,Double Anaerobic Washed,7.92,8.08,8.17,8.17,6.83,7.5,10,8.08,87.17,12.2,0,1,yello-green,1
398,1,16 kg,"Bourbon, Catimor, Caturra, Typica",Semi Washed,8.25,8.08,7.25,7.33,7.17,8.08,10,7.08,85.42,9.7,5,10,yellow-green,12
399,120,30 kg,Gesha,"Honey,Mossto",8.08,7.58,7.75,7.42,7,8.25,10,7.83,82.25,11.1,0,6,blue-green,0
400,343,16 kg,Catucai,Wet Hulling,7.33,7.92,7.5,6.83,6.83,7,10,8.25,82.75,9.1,1,8,yellow- green,13
401,4,5 kg,Bourbon,Pulped natural / honey,7.25,7.5,6.92,8,6.83,7.42,9.33,8.33,84.08,9.9,4,8,green,13
402,22,80 kg,Caturra,Anaerobico 1000h,7.25,8.42,7.83,6.83,7.83,7,8.67,8.17,85.58,11.7,4,2,blue-green,4
403,100,1 kg,Catuai and Mundo Novo,Washed / Wet,7.75,8.25,7.67,7.75,6.83,7.25,10,7.42,82.75,11.9,5,2,bluish-green,0
404,540,5 kg,Typica Bourbon Caturra Catimor,Anaerobico 1000h,7.75,6.75,8.17,8.58,6.83,7.5,10,7.33,82.75,9.8,3,12,yello-green,8
405,55,85 kg,"Caturra,Colombia,Castillo",Anaerobico 1000h,7.25,7.17,7.33,7.83,7.58,6.67,10,7.83,86.08,9.6,0,3,blue-green,8
406,632,320 kg,"Bourbon, Catimor, Caturra, Typica",Double Anaerobic Washed,7.5,7.33,7.83,8.58,7.42,8,9.33,7.92,84.25,11.9,3,7,greenish,9
407,600,4 kg,Pacamara,Semi Washed,7.67,8.17,7.08,7.17,8.08,7.58,9.33,7.33,87.42,9.3,3,3,yellow- green,10
408,10,5 kg,Java,Pulped natural / honey,7.42,7.75,7.17,7.92,7.58,7.75,8.67,7.83,86.17,9.3,2,2,yellowish,13
409,960,2 kg,SL28,Double Anaerobic Washed,7.83,7.25,8.17,8,8,7.67,10,8,86.5,8.4,4,10,bluish-green,4
410,70,16 kg,Catimor,Anaerobico 1000h,7.67,8.33,7.25,8.58,6.83,7.42,8.67,7.33,82.33,11.7,0,9,green,7
411,6,2 kg,"Red Bourbon,Caturra",Pulped natural / honey,8.25,8.33,7.92,7.25,7,8.08,10,6.83,82.33,12,5,6,greenish,12
412,22,16 kg,Bourbon Sidra,Semi Washed,7.33,7.92,7.92,7.42,8.08,7.75,10,7.58,86.75,9.3,2,8,green,13
413,35,320 kg,Parainema,Anaerobico 1000h,7.67,8.42,7.92,7.83,7.17,7.08,8.67,7.5,87.42,11.7,1,2,yellow-green,9
414,540,50 kg,Catucai,Natural / Dry,8.33,7.33,7.92,8.17,7,7.83,9.33,7.42,82.33,8.9,1,1,bluish-green,11
415,26,30 kg,Caturra,Anaerobico 1000h,8.5,7.92,6.75,7.83,7.83,6.67,8.67,8.08,89.33,9.8,5,7,yellowish,10
416,320,2 kg,"Bourbon, Catimor, Caturra, Typica",Pulped natural / honey,7.5,8,6.92,7.67,8.17,8.17,9.33,7.5,84.58,12,4,8,blue-green,3
417,620,22 kg,Castillo,Anaerobico 1000h,8,7.25,7.42,8.17,7.58,7.75,8.67,6.83,83,10.9,2,8,yellow-green,7
418,32,12 kg,"Red Bourbon,Caturra",Double Carbonic Maceration / Natural,7.58,7.17,6.75,7.33,7.33,7.08,8.67,7.33,87.58,9.3,3,0,yellow-green,11
419,325,2 kg,Pacamara,Wet Hulling,8.33,7.42,7,8.33,7.92,7.25,9.33,8.58,83.5,11,0,9,yellowish,1
420,150,4 kg,Pacamara,Pulped natural / honey,7.5,7.5,7.17,8.33,7.92,8.25,9.33,7,83.33,9.3,5,0,blue-green,9
421,50,90 kg,Maragogype,Pulped natural / honey,7.5,8.25,6.92,7.58,7.08,6.67,10,7.33,84.25,11.7,3,10,browish-green,11
422,22,2 kg,"Jember,TIM-TIM,Ateng",Double Anaerobic Washed,8.25,7.83,7.5,7.58,8.25,7.92,10,7.17,85.33,10.6,4,7,green,3
423,26,22 kg,Typica,Natural / Dry,8.58,7.58,7.92,8.33,7.08,7.25,10,8.5,82.25,12.1,0,6,yellow green,12
424,77,4 kg,Typica Gesha,Natural / Dry,7.5,7.58,8.42,8.17,6.83,7.83,9.33,7.17,83.17,13.1,2,5,pale yellow,2
425,141,22 kg,Parainema,Pulped natural / honey,7.33,8,7,7.17,8.25,8.25,9.33,8.58,86.25,10.1,1,3,browish-green,8
426,6,80 kg,Red Bourbon,Semi Washed,7.67,7.5,7.42,7.92,7.42,7.33,10,8.25,83.25,10.3,4,0,yellow- green,5
427,150,15 kg,"BOURBON, CATURRA Y CATIMOR",Washed / Wet,7.83,7.33,6.75,7.92,7.33,8.42,9.33,8.25,84.33,9.3,3,2,yellow green,16
428,960,22 kg,Catimor,Washed / Wet,7.33,8.08,7.08,8,7.08,8.08,9.33,7.33,86.17,8.4,5,12,pale yellow,2
429,74,80 kg,Typica,"Honey,Mossto",7.75,7.25,6.67,8.25,7.92,8.17,10,7.17,85.75,10.6,1,10,yellowish,1
430,70,50 kg,SL14,Wet Hulling,8.58,7.42,7.67,7.17,7.83,7.58,9.33,7.83,89.33,10.6,2,1,bluish-green,10
431,13,16 kg,Mundo Novo,Washed / Wet,7.67,8.25,7.92,8.33,7.17,7.75,9.33,7.92,85,11.3,0,2,yello-green,16
432,141,1 kg,"Castillo,Caturra,Bourbon",Natural / Dry,8.5,8,7.75,8.17,6.83,7.08,10,7.5,89.33,9.4,2,0,brownish,4
433,120,5 kg,Catrenic,Double Anaerobic Washed,7.33,8.33,6.92,7,6.83,7.25,10,7.5,85,11.3,3,0,browish-green,12
434,120,50 kg,"Catimor,Catuai,Caturra,Bourbon",Washed / Wet,8,7.42,8.17,8,8.25,7.08,9.33,8.08,85.5,9.1,1,8,yellow green,13
435,66,48 kg,Lempira,Washed / Wet,8.08,8.08,8,8.33,7.33,7.08,9.33,7.67,82.83,10.3,4,7,blue-green,11
436,1,10 kg,SL34,"Honey,Mossto",7.08,7.58,7,8,8.25,8.08,9.33,6.67,84.33,12.4,4,9,pale yellow,2
437,6,35 kg,Ethiopian Heirlooms,Double Anaerobic Washed,8,8,8.42,7.58,7.17,7.42,9.33,7.83,85.75,13.3,5,0,yello-green,4
438,13,13 kg,Typica Bourbon Caturra Catimor,Double Carbonic Maceration / Natural,7.5,8,6.75,7.5,7.83,7,9.33,7.17,86.92,10.4,1,7,brownish,5
439,26,22 kg,Mundo Novo,Pulped natural / honey,7.42,7.67,8.25,7.58,6.83,7,9.33,7,87.42,9.6,5,6,green,0
440,5,22 kg,Ethiopian Heirlooms,Pulped natural / honey,8.5,8.33,7.92,7.92,8.17,7.83,10,7.33,85.17,9.5,1,3,yello-green,10
441,6,5 kg,Gesha,"Honey,Mossto",7.83,8,6.67,6.83,7.42,7.58,9.33,7.5,86.67,11.7,3,9,yellow- green,9
442,632,24 kg,Catrenic,Washed / Wet,8.58,8.08,7.67,7.75,7.08,6.67,8.67,8.33,86.25,13.3,5,5,pale yellow,4
443,9,20 kg,Castillo and Colombia blend,Double Anaerobic Washed,8.33,8.25,8.08,7.33,8.25,7.25,9.33,8.17,84.25,9.7,4,9,yellow green,1
444,14,2 kg,Parainema,Double Carbonic Maceration / Natural,7.5,8.33,7.5,8.25,7.58,6.67,10,8.25,83.17,9.7,4,3,green,9
445,430,4 kg,Castillo,"Honey,Mossto",7.75,8.5,7,7.33,7.17,7.08,9.33,7.67,82.33,11.6,5,8,green,2
446,141,35 kg,Sarchimor,Wet Hulling,8.5,8,7.33,8.58,7.17,7.83,9.33,7.58,82.5,10.5,3,2,blue-green,13
447,25,35 kg,Catuai and Mundo Novo,Semi Washed,7.75,7.67,7.25,7.33,7.58,6.67,9.33,7.92,84.33,11.8,4,2,browish-green,10
448,8,45 kg,Ethiopian Heirlooms,Anaerobico 1000h,8,8.17,7.33,7.42,7.92,7.83,10,8.58,83.42,9.2,2,5,blue-green,16
449,343,4 kg,Maragogype,Washed / Wet,8,8.25,7.83,7.92,7.58,7.92,10,7.83,84.08,10.3,5,12,browish-green,8
450,540,70 kg,"Wolishalo,Kurume,Dega",Wet Hulling,7.67,7.42,7.67,7.25,7.17,7.42,9.33,8.08,85.75,11.2,3,3,greenish,4
451,285,100 kg,Bourbon,Semi Washed,8,7.83,7.33,7.08,7.08,8.08,10,8.17,85.75,11,5,9,blue-green,1
452,5,15 kg,Maragogype,Semi Washed,7.42,8.08,7.83,7.83,8.17,7.58,10,7.83,89.33,8.1,5,2,bluish-green,4
453,70,4 kg,SHG,Semi Washed,7.67,7.83,7.83,7,7.92,7.5,10,7.75,86.5,10.9,2,6,browish-green,12
454,260,80 kg,Catrenic,Washed / Wet,7.92,8.25,7.33,7.58,8.08,7.67,8.67,7.17,86.25,8.9,1,2,yellow-green,5
455,14,80 kg,Castillo and Colombia blend,Semi Washed,7.42,7.58,7.33,8,6.83,8,10,8.17,84.58,13.3,2,5,green,10
456,584,24 kg,Catuai,Anaerobico 1000h,7.25,7.25,7.92,7.92,6.83,7.83,10,8,83,11.8,5,10,greenish,11
457,600,15 kg,Yellow Bourbon,Double Anaerobic Washed,8.33,7.42,7,8.08,7.67,7.58,8.67,7,84.42,11.5,5,2,brownish,0
458,66,5 kg,SL28,Washed / Wet,7.5,7.33,8.08,7.17,6.83,7.58,9.33,7.17,84.75,10.1,3,12,greenish,1
459,1,320 kg,Catuai,Semi Washed,8.08,8.25,7.67,8,8.25,6.67,8.67,8.33,82.83,8.4,5,7,green,1
460,80,12 kg,Bourbon,Anaerobico 1000h,7.83,7.83,7.75,7.5,7.92,8,9.33,7.92,85.67,9.9,0,12,brownish,0
461,120,10 kg,Bourbon Sidra,Anaerobico 1000h,7.83,7.42,7.17,7.75,7.33,8.17,10,8.33,84,10.3,3,7,browish-green,3
462,3,5 kg,Sl34+Gesha,Semi Washed,7.17,8.42,7.58,7.17,6.83,7.33,10,7.17,84.08,10.2,4,10,yello-green,9
463,35,300 kg,Gesha,Washed / Wet,7.5,8.17,7.92,7.75,7.75,7.25,10,7.67,84.67,10.1,2,8,yellow green,2
464,13,5 kg,Ethiopian Heirlooms,Pulped natural / honey,8,8,7.42,7.17,7.08,7.83,9.33,8.08,83.17,10.5,3,0,yellow green,7
465,100,25 kg,"Castillo,Caturra,Bourbon",Double Anaerobic Washed,7.5,8.08,7.33,7.67,8.08,7.75,9.33,7.92,86.75,10.2,3,2,bluish-green,2
466,80,5 kg,"Castillo,Caturra,Bourbon",Anaerobico 1000h,8.5,7.92,7.33,7.75,7.75,7.58,8.67,7.83,87.42,13.3,2,2,bluish-green,12
467,74,2 kg,Catrenic,Wet Hulling,8.25,7.08,6.67,8.08,7.08,7.5,10,7.58,87.42,10.8,3,7,brownish,13
468,5,20 kg,"Bourbon, Catimor, Caturra, Typica",Double Anaerobic Washed,8.17,7.67,7.08,7.5,8,8.25,8.67,8.17,85.33,10.8,5,10,green,1
469,74,100 kg,"Castillo,Caturra,Bourbon",Double Anaerobic Washed,8.25,7.75,7,8.58,7.08,7.75,9.33,6.67,85.67,11.3,2,5,brownish,8
470,77,16 kg,Sarchimor,Double Anaerobic Washed,8.25,7.08,7.25,8,8,8.25,9.33,7.67,87.42,10.2,3,3,yellow green,16
471,300,30 kg,Castillo Paraguaycito,Pulped natural / honey,7.08,8.5,7.08,7.08,7.25,7.58,10,7.08,85.58,13.5,3,6,browish-green,10
472,74,5 kg,Java,Wet Hulling,7.17,7.08,7.92,8,7,7.83,8.67,7.5,83,10.5,3,3,greenish,3
473,150,36 kg,Catimor,Natural / Dry,8,7.75,8,7.5,7.92,8.25,8.67,7.83,83.08,11.9,3,2,brownish,3
474,5,24 kg,Maragogype,Double Anaerobic Washed,7.67,7.67,6.92,7.25,6.83,7.08,8.67,7.67,84.42,9.5,2,1,brownish,10
475,325,25 kg,Catuai and Mundo Novo,Semi Washed,8.17,7.58,7.17,8.58,8.17,8.42,8.67,8,82.67,11.1,5,8,pale yellow,11
476,10,90 kg,"Bourbon, Catimor, Caturra, Typica",Double Anaerobic Washed,7.83,6.75,8.42,7.25,7.17,8.08,8.67,7.92,82.75,12.1,2,7,yellowish,9
477,80,45 kg,Java,Double Carbonic Maceration / Natural,7.92,8.5,7,7.17,6.83,8,10,6.67,85.17,11.8,5,9,yellow green,5
478,500,4 kg,"BOURBON, CATURRA Y CATIMOR",Washed / Wet,8,7.75,7.58,8.17,8,8.17,8.67,7.17,85.42,12.1,5,9,yellow- green,0
479,440,10 kg,Sl34+Gesha,Pulped natural / honey,8.17,8,7,7.5,7.75,7.75,8.67,7.42,85.33,10.3,0,7,greenish,4
480,200,15 kg,"Red Bourbon,Caturra",Semi Washed,7.75,7.08,7,8.25,8.25,8.25,9.33,7.75,85.83,11.9,0,7,brownish,16
481,40,25 kg,"BOURBON, CATURRA Y CATIMOR",Double Anaerobic Washed,7.67,6.75,7.42,7.67,7.67,7.75,8.67,7.92,84.67,8.9,2,10,bluish-green,11
482,9,36 kg,"Catimor,Catuai,Caturra,Bourbon",Natural / Dry,8,8.33,8,8,7.92,8.08,8.67,7.17,82.5,10.2,1,0,yellowish,8
483,40,5 kg,"Red Bourbon,Caturra",Wet Hulling,7.33,8,7.33,7,7.92,7.08,8.67,7.33,87.17,11.6,5,9,yellow- green,12
484,20,2 kg,Bourbon,Anaerobico 1000h,8.5,8.08,6.75,8.17,7.92,7.5,10,7.67,82.42,13.1,2,2,pale yellow,4
485,1,300 kg,Parainema,Double Anaerobic Washed,6.5,7.67,6.67,8.17,8.08,7.83,8.67,8.58,83.33,11.6,1,12,pale yellow,16
486,2,10 kg,Maragogype,Double Anaerobic Washed,8.17,8.33,7.42,8.58,7.83,7.08,8.67,7.92,84.75,9.9,4,6,yello-green,11
487,13,2 kg,Catuai and Mundo Novo,Double Carbonic Maceration / Natural,8.25,8.42,7.42,7.08,7.92,7.08,10,7.08,84.25,11,3,10,greenish,9
488,125,30 kg,"Wolishalo,Kurume,Dega",Natural / Dry,7.67,8.42,6.75,7.42,7.75,8.17,8.67,8,85.25,8.4,2,10,browish-green,11
489,325,4 kg,Sarchimor,Natural / Dry,8.33,8.08,7.42,7.75,7.33,7.5,9.33,8.25,84.08,8.9,3,2,yellow green,3
490,1,69 kg,Typica Gesha,Pulped natural / honey,8.17,7.25,7.08,7,7.08,7.67,10,8.58,86.67,12,0,9,pale yellow,13
491,40,36 kg,SL28,Natural / Dry,8.58,7.42,7.67,8.08,8.17,7.25,10,8.58,86.17,10.2,0,7,blue-green,7
492,285,35 kg,Mundo Novo,Pulped natural / honey,7.5,8.25,7.75,8,7.08,8.42,8.67,7,85.33,10.8,1,12,yellow- green,0
493,80,22 kg,Maragogype,Double Carbonic Maceration / Natural,7.25,7.5,8.25,8.17,7.08,7.75,9.33,7.42,82.5,9.8,3,7,pale yellow,1
494,66,12 kg,Lempira,Double Carbonic Maceration / Natural,7.33,8.5,8.17,7.42,7,7.08,10,7.75,85.75,13.1,3,6,yellow- green,3
495,77,80 kg,Catuai and Mundo Novo,Double Carbonic Maceration / Natural,8.08,8.33,6.75,7.25,7,7.92,9.33,8.33,85.25,11.4,5,0,yellow-green,9
496,3,35 kg,Lempira,Double Anaerobic Washed,8.17,7.58,7.58,8.33,8.25,8.08,8.67,8,89.33,11.3,0,7,green,5
497,141,12 kg,Pacamara,Washed / Wet,8.25,8.42,8.25,7.92,8.17,7.08,8.67,8.25,86.92,9.6,2,6,browish-green,13
498,9,300 kg,Pacamara,Anaerobico 1000h,8.25,8,6.75,8,7.67,7.25,10,8.25,85,10.6,0,7,yellow-green,8
499,325,1 kg,Catimor,Natural / Dry,7.83,7.58,8.25,8,7.33,7.08,10,7.58,87.08,9.9,3,5,yello-green,13
500,35,30 kg,Lempira,Washed / Wet,8.25,8.42,7.75,7,7.42,7.42,10,8.25,84.92,10.8,1,6,yello-green,12
501,584,13 kg,Mundo Novo,Washed / Wet,7.83,7.17,7.17,8.08,8,7.83,9.33,6.83,84.33,9.2,3,8,bluish-green,16
502,50,36 kg,Sarchimor,Pulped natural / honey,7.08,8.17,7.5,7.83,8.25,7,8.67,8,85.67,12.3,2,7,bluish-green,1
503,8,25 kg,Parainema,Wet Hulling,8.5,8.08,7.25,7.42,8,7.42,10,7.58,84.33,12.2,4,12,yellow- green,2
504,632,16 kg,"Jember,TIM-TIM,Ateng",Double Carbonic Maceration / Natural,7.33,8.08,8.08,7.08,7.08,7.58,9.33,7.17,84.75,9.8,3,0,brownish,12
505,440,45 kg,"Red Bourbon,Caturra",Semi Washed,8.58,7.58,7.83,7.5,7.25,7.58,8.67,8.58,86.08,11.5,4,6,pale yellow,9
506,540,25 kg,"Wolishalo,Kurume,Dega",Washed / Wet,7.08,8.33,6.67,7.92,6.83,7,9.33,6.67,85.75,11.7,0,12,yellow-green,12
507,540,320 kg,Gesha,Double Anaerobic Washed,6.5,8.42,7.67,7.33,7.25,7.08,10,7.92,83.25,9.7,4,0,yellow- green,5
508,20,69 kg,Catucai,Anaerobico 1000h,7.25,6.75,8.17,7.83,7.33,8.17,9.33,7.67,84.08,13.5,4,2,yellowish,4
509,960,48 kg,"BOURBON, CATURRA Y CATIMOR","Honey,Mossto",7.08,8.5,7,8.08,8.17,7,8.67,8.08,86.75,11.8,3,5,green,12
510,620,16 kg,Typica,Double Carbonic Maceration / Natural,7.83,8,7.33,6.83,7,8.42,10,7.42,84.08,10.1,4,1,yellow green,8
511,200,4 kg,Bourbon,Double Anaerobic Washed,7.75,8,6.75,7.42,7.33,7.42,8.67,8.25,85.83,8.4,5,12,blue-green,7
512,584,24 kg,Catimor,Double Carbonic Maceration / Natural,7.5,7.17,7.33,7.58,7,8.42,10,8.33,89.33,9.7,4,12,yello-green,12
513,320,20 kg,"Castillo,Caturra,Bourbon",Double Carbonic Maceration / Natural,7.75,8.5,7.92,8,7.58,7.33,10,7.75,87.42,8.9,3,1,browish-green,16
514,141,20 kg,Parainema,Washed / Wet,7.08,7.75,7.75,8.08,7.58,6.67,10,8,86.25,10.5,2,8,blue-green,1
515,13,50 kg,Catucai,"Honey,Mossto",7.75,7.67,7.58,8.08,7.58,7.08,8.67,7,84.67,9.1,4,1,bluish-green,3
516,22,69 kg,Sl34+Gesha,Wet Hulling,7.75,7.33,8.08,8.25,7.67,7.08,9.33,7.75,85,11.5,3,3,bluish-green,16
517,141,300 kg,"Wolishalo,Kurume,Dega",Double Carbonic Maceration / Natural,7.08,8.33,7.58,7.75,7.67,7.58,9.33,8.5,87,10.8,1,6,yellowish,10
518,430,104 kg,Bourbon Sidra,Washed / Wet,8.17,8.5,6.75,7.33,8.25,7.92,8.67,7.75,85.33,12,4,10,bluish-green,1
519,960,16 kg,Parainema,Double Anaerobic Washed,8.25,8.42,7.92,8,7,7.08,10,7.83,83.75,10.3,3,8,yellow-green,2
520,340,5 kg,Castillo and Colombia blend,Pulped natural / honey,7.25,8.08,8.25,7.42,7.17,7.33,9.33,8,86.25,9.7,3,12,pale yellow,12
521,960,45 kg,Castillo,Anaerobico 1000h,8,8.17,8.08,7.92,8.17,8.17,10,7.33,83.83,8.1,3,8,yellow-green,5
522,540,15 kg,"Catimor,Catuai,Caturra,Bourbon",Double Carbonic Maceration / Natural,8.58,8.33,7.5,7.5,7.33,7.33,9.33,6.67,84.92,13.5,4,5,browish-green,13
523,32,80 kg,"Wolishalo,Kurume,Dega",Double Anaerobic Washed,7.83,7.83,7.5,8.08,7.58,8.08,10,8.5,86.25,10.2,3,8,bluish-green,4
524,440,69 kg,Pacamara,Washed / Wet,8.08,7.75,7.42,7.67,7.17,7.58,8.67,7.17,82.75,8.9,1,12,blue-green,1
525,25,16 kg,Bourbon Sidra,"Honey,Mossto",8.17,7.58,7.25,7.83,6.83,7.08,9.33,8.5,84.92,13.1,0,9,pale yellow,13
526,584,20 kg,Castillo,Washed / Wet,8.17,7.67,7.08,7.58,7.33,7.08,8.67,7,84,10.6,2,10,yellow- green,5
527,5,35 kg,"Catimor,Catuai,Caturra,Bourbon",Washed / Wet,7.58,7.75,7.17,7.25,8.25,7,9.33,6.83,87.17,9.7,3,0,blue-green,12
528,320,80 kg,Maragogype,Pulped natural / honey,8.25,8.33,7.5,8.33,7.75,7.25,8.67,6.67,83.25,10.6,1,7,green,7
529,26,300 kg,Catucai,Anaerobico 1000h,8.33,7.25,7.25,7.92,8.08,7,10,7.75,84.58,13.5,0,1,browish-green,10
530,35,1 kg,"Jember,TIM-TIM,Ateng",Double Carbonic Maceration / Natural,7.58,7.17,6.67,7.17,7.83,8.08,10,8.17,82.67,9.4,4,6,yellow green,3
531,125,70 kg,Castillo Paraguaycito,Semi Washed,8.25,8.33,7.5,7.17,7.33,7.25,9.33,7.92,82.25,10.6,2,6,yellowish,5
532,300,60 kg,Yellow Bourbon,Double Carbonic Maceration / Natural,8.08,7.08,7.58,7.75,7.58,7.42,9.33,8.08,86.08,9.1,0,8,greenish,9
533,22,4 kg,Catrenic,Wet Hulling,8.58,7.67,8.17,8.08,7.67,7.67,10,7.92,85.25,12.2,3,5,brownish,2
534,50,24 kg,Catrenic,Wet Hulling,8.58,8.5,8,8.58,6.83,7.08,8.67,7.58,85.83,9.1,3,0,bluish-green,1
535,375,300 kg,"Red Bourbon,Caturra",Wet Hulling,7.33,6.75,8.17,7.08,7.83,7.42,8.67,7.58,84.75,12.1,5,3,yello-green,3
536,70,5 kg,Typica Bourbon Caturra Catimor,"Honey,Mossto",8.5,8.33,7.75,8.58,7.25,7.33,8.67,8.33,87.58,9.3,0,12,brownish,0
537,55,85 kg,Parainema,Double Anaerobic Washed,8.25,7.33,7.17,7.67,6.83,7.83,10,7.58,83.33,12.4,3,5,yellow-green,13
538,50,15 kg,"Bourbon, Catimor, Caturra, Typica",Washed / Wet,7.42,7.83,8.17,7.08,7.42,7.58,10,7.67,87.08,11,4,10,yellow- green,5
539,100,70 kg,"Catimor,Catuai,Caturra,Bourbon",Pulped natural / honey,7.42,8.08,6.92,7.5,8.17,7.33,10,7.33,84,8.9,1,9,yellow-green,5
540,5,10 kg,Castillo and Colombia blend,Double Carbonic Maceration / Natural,7.17,8.17,6.67,7.42,7.67,7.67,9.33,8.5,85,12.2,4,0,green,5
541,500,300 kg,Pacamara,Double Carbonic Maceration / Natural,7.5,7.67,8.17,7.58,7.08,7.92,9.33,8.17,85.75,11.4,3,3,blue-green,10
542,77,16 kg,"Wolishalo,Kurume,Dega",Natural / Dry,7.42,8.42,6.92,8.58,7.25,7.83,10,6.67,84.92,9.1,3,5,pale yellow,5
543,77,70 kg,Gesha,Double Carbonic Maceration / Natural,7.08,7.83,7.75,6.83,7.33,6.67,10,7.83,85.67,9.6,2,12,yellow green,9
544,6,60 kg,"Catimor,Catuai,Caturra,Bourbon",Anaerobico 1000h,8.58,8.17,7.83,8.08,7.83,7.92,10,7.75,83.33,12.4,0,0,brownish,8
545,375,80 kg,Parainema,Semi Washed,7.5,7.67,7.92,7.42,7.17,7,8.67,8.08,86.75,11.5,0,2,browish-green,0
546,6,36 kg,Parainema,Pulped natural / honey,8,7.17,7.08,7.08,7.83,7.83,9.33,7.17,84.42,9.7,4,1,browish-green,7
547,55,35 kg,Castillo and Colombia blend,Anaerobico 1000h,8.33,8.17,8.25,7.92,7.08,7.75,10,8.08,89.33,9.7,1,3,bluish-green,3
548,150,85 kg,"Caturra,Colombia,Castillo",Double Carbonic Maceration / Natural,8.5,8.33,7.83,7.17,7.25,7.58,10,7,85.42,9.4,3,8,green,16
549,343,4 kg,Yellow Bourbon,Wet Hulling,7.75,8.08,7.33,7,7.17,7.08,9.33,8.25,82.25,13.5,5,6,yellow green,4
550,3,20 kg,Bourbon,Washed / Wet,8.5,7.75,7.83,7.42,7.92,7.25,9.33,6.83,87.17,11.9,4,7,brownish,12
551,320,70 kg,Parainema,Double Anaerobic Washed,8.5,8.08,7.25,8,8,7.25,10,8.33,84.58,9.3,4,0,browish-green,9
552,620,90 kg,Mundo Novo,Pulped natural / honey,6.5,7.5,6.67,8.25,8.17,7.42,9.33,8.5,82.5,11.7,1,6,yellow green,1
